Dataset,Metric,TDE,EGC,DCL
TPC-C,Precision,63.33,66.93,79.4
TPC-C,Recall,70.56,73.17,80.61
TPC-C,F1-score,66.75,69.91,80
TPC-C,FE Time,2777,2.07,13.7
Voter,Precision,93.75,97.63,85.2
Voter,Recall,87.59,95.65,92.9
Voter,F1-score,90.57,97.13,88.88
Voter,FE Time,2832,1.9,6.66
YCSB,Precision,49,50.1,98.98
YCSB,Recall,53.7,88.04,98.96
YCSB,F1-score,51.24,63.86,98.97
YCSB,FE Time,2822,1.98,8.18
Twitter,Precision,49.75,50,99.95
Twitter,Recall,58.61,72.85,99.97
Twitter,F1-score,53.82,59.3,99.96
Twitter,FE Time,2816,1.99,8.18
Wikipedia,Precision,98.85,100,86.7
Wikipedia,Recall,97.95407855,100,86.7
Wikipedia,F1-score,98.4,100,86.7
Wikipedia,FE Time,2798,2,13.53
